Replicate,Period,Unit_ref,Set_date,Month,Site,Latitude,Longitude,Depth,Time_in,Time_out,Caves_distance,Quarry_distance,MaxN_species,Harengula_clupeola,Eucinostomus_gula,Strongylura_notata,Haemulon_plumierii,Atherinomorus_stipes,Maguimithrax _spinosissimus,Octopus_briareus,Hippocampus_erectus,Fasciolaraia_tulipa,Chilomycterus_antennatus,Total_fish_abundance,LC_cover,CR_cover,F_cover,HY_cover,CS_cover,MO_cover,ET_cover
2,Diurnal,Quarry_A,21/07/2020,July,Quarry,25.357032,-76.504705,2.5,1059,1107,,,2,0,6,1,0,0,0,0,0,0,1,8,,,,,,,
2,Diurnal,Quarry_B,21/07/2020,July,Quarry,25.357397,-76.505689,2.5,1103,1210,,,2,0,7,3,0,0,0,0,0,0,0,10,,,,,,,
2,Diurnal,Quarry_C,21/07/2020,July,Quarry,25.357105,-76.505933,2,1105,1218,,,2,0,6,1,0,0,0,0,0,0,0,7,,,,,,,
2,Diurnal,Quarry_C,22/07/2020,July,Quarry,25.35844,-76.504899,3,1000,1110,,,2,0,9,0,1,0,0,0,1,0,0,11,,,,,,,
3,Diurnal,Quarry_A,22/07/2020,July,Quarry,25.358779,-76.504784,4,1004,1113,,,2,0,4,0,0,0,0,0,0,0,0,4,,,,,,,
3,Diurnal,Quarry_B,22/07/2020,July,Quarry,25.358107,-76.505684,4,1006,1114,,,2,9,5,0,0,0,0,0,0,0,0,14,,,,,,,
3,Diurnal,Quarry_C,22/07/2020,July,Quarry,25.358563,-76.505352,4,1138,1244,,,2,0,6,0,0,0,0,0,0,0,0,6,,,,,,,
4,Diurnal,Quarry_A,23/07/2020,July,Quarry,25.358819,-76.504664,1,913,1018,,,2,8,11,1,0,0,0,1,0,0,2,23,,,,,,,
4,Diurnal,Quarry_B,23/07/2020,July,Quarry,25.357991,-76.504873,3.5,917,1027,,,2,15,4,0,0,0,0,0,0,0,1,20,,,,,,,
4,Diurnal,Quarry_C,23/07/2020,July,Quarry,25.357797,-76.505753,4,920,1030,,,2,0,3,1,12,0,0,0,0,0,0,16,,,,,,,
5,Diurnal,Quarry_A,24/07/2020,July,Quarry,25.359347,-76.505362,2,1007,1130,,,2,0,5,0,0,0,0,0,1,0,0,6,,,,,,,
5,Diurnal,Quarry_B,24/07/2020,July,Quarry,25.359105,-76.505775,4,1011,1135,,,2,21,3,0,0,0,0,0,0,0,0,24,,,,,,,
